UTC:,ykdhf,,,,,,,,,,,,,,,,,
time_pc [s],Mass [g],time_mcu[ms],data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:,data [mV]:
2.814716339,0,67707,8558,8566,8778,8800,9262,19527,6183,19153,11198,9218,8910,9255,8448,8390,8287,8859
2.822871923,0,67722,8624,8602,8807,8690,8873,9328,19468,6198,19409,11044,9167,9489,8573,8375,8346,8888
2.838851929,0,67737,8595,8668,8742,8639,8705,8815,9599,19945,6198,21477,11271,9959,8690,8389,8338,8859
2.854473591,0,67751,8492,8609,8543,8500,8514,8646,8808,9665,22027,6535,24733,12635,8991,8507,8360,8844
2.869736433,0,67766,8610,8544,8573,8492,8529,8456,8499,8984,9497,25114,6872,38304,13669,8976,8529,8932
2.885357618,0,67781,9079,9028,9218,9006,8925,8837,8910,9357,9606,10538,38296,8258,48422,15736,9739,9607
2.900978804,0,67796,8976,8896,8954,8844,8749,8668,8646,8910,8925,8954,10545,48788,9270,29696,12070,9497
2.91693902,0,67811,8910,8727,8800,8566,8536,8507,8368,8529,8529,8485,9028,11256,30085,7320,26199,11608
2.932221413,0,67825,9643,8969,8969,8646,8580,8397,8412,8588,8543,8507,8683,9607,9394,26881,6968,27783
2.948191166,0,67840,30209,11806,9336,8778,8580,8500,8375,8492,8588,8478,8653,9093,8727,9064,27680,7107
2.948191166,0,A,,,,,,,,,,,,,,,,
2.948191166,0,67855,4600,22811,11968,9365,8866,8573,8360,8676,8551,8536,8676,9108,8492,8654,9248,28054
